team,spi,off.,def.,goal diff.,proj. pts.pts.,Every position,relegatedrel.,qualify for UCLmake UCL,win Premier Leaguewin league,points,date,date_final
Man. City,92.3,2.9,0.3,+55,85,,<1%,91%,46%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Liverpool,90.5,2.7,0.3,+46,80,,<1%,83%,30%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Chelsea,85.7,2.4,0.4,+30,72,,<1%,60%,11%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Tottenham,81.9,2.4,0.6,+21,66,,<1%,42%,5%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Arsenal,78.5,2.2,0.6,+12,61,,2%,28%,2%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Man. United,75.2,2.1,0.7,+6,57,,4%,18%,1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Aston Villa,74.1,2.0,0.7,+3,54,,5%,14%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Brighton,73.7,1.9,0.7,+1,54,,6%,13%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Leicester,71.2,2.0,0.8,-2,51,,8%,10%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
West Ham,70.6,1.9,0.8,-4,50,,9%,9%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Crystal Palace,71.4,1.8,0.7,-4,50,,10%,8%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Brentford,68.6,1.9,0.9,-8,48,,13%,6%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Newcastle,68.6,1.8,0.8,-8,47,,14%,5%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Wolves,67.7,1.8,0.8,-10,46,,16%,5%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Everton,63.8,1.8,1.0,-17,42,,23%,3%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Leeds United,62.2,1.8,1.1,-19,41,,27%,2%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Southampton,61.3,1.8,1.1,-21,40,,30%,2%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Fulham,58.7,1.6,1.0,-26,36,,41%,<1%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Bournemouth,57.9,1.5,1.0,-27,36,,44%,<1%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Nottm Forest,57.3,1.5,1.0,-28,35,,45%,<1%,<1%,0,"Updated July 19, 2022, at 2:32 p.m.",2022-07-19
Man. City,92.2,3.0,0.4,+62,86,,<1%,95%,63%,13,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Liverpool,89.7,2.8,0.4,+46,75,,<1%,78%,16%,9,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Arsenal,81.4,2.3,0.6,+24,70,,<1%,59%,9%,15,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Tottenham,81.6,2.3,0.6,+23,68,,<1%,51%,6%,11,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Chelsea,81.9,2.3,0.6,+15,64,,<1%,37%,3%,7,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Man. United,75.0,2.1,0.8,+3,58,,2%,20%,1%,9,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Brighton,75.4,1.9,0.6,+6,58,,2%,19%,1%,10,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Newcastle,72.2,1.9,0.8,+2,52,,6%,9%,<1%,6,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Crystal Palace,71.2,1.9,0.7,-3,50,,9%,7%,<1%,5,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Brentford,69.9,2.0,0.9,-2,49,,9%,6%,<1%,6,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
West Ham,70.4,1.8,0.8,-8,47,,13%,4%,<1%,4,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Leeds United,65.2,1.8,1.0,-10,46,,14%,3%,<1%,8,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Aston Villa,70.2,1.9,0.8,-11,45,,17%,3%,<1%,3,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Southampton,63.5,1.8,1.0,-16,44,,19%,2%,<1%,7,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Leicester,69.1,1.9,0.9,-11,43,,21%,2%,<1%,1,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Fulham,62.1,1.7,1.0,-16,43,,21%,2%,<1%,8,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Wolves,68.0,1.7,0.8,-12,42,,23%,2%,<1%,3,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Everton,64.0,1.7,0.9,-16,40,,30%,<1%,<1%,4,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Nottm Forest,56.0,1.5,1.1,-34,34,,53%,<1%,<1%,4,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Bournemouth,54.0,1.5,1.1,-41,32,,60%,<1%,<1%,4,"Updated Sept. 3, 2022, at 9:28 a.m.",2022-09-03
Man. City,93.0,3.0,0.3,+64,87,,<1%,96%,66%,17,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Liverpool,89.0,2.8,0.5,+45,75,,<1%,76%,15%,9,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Arsenal,81.5,2.3,0.6,+25,71,,<1%,59%,8%,18,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Tottenham,81.7,2.4,0.6,+26,69,,<1%,55%,6%,17,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Chelsea,81.3,2.2,0.5,+14,64,,<1%,35%,3%,10,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Man. United,75.9,2.1,0.7,+7,61,,1%,25%,1%,12,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Brighton,76.3,2.0,0.6,+10,60,,1%,24%,1%,13,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Newcastle,72.9,1.9,0.7,+1,51,,6%,7%,<1%,8,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Crystal Palace,70.2,1.8,0.8,-5,48,,10%,5%,<1%,6,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Brentford,68.8,2.0,0.9,-4,48,,10%,4%,<1%,9,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Aston Villa,71.0,1.8,0.7,-8,48,,11%,3%,<1%,7,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
West Ham,71.1,1.8,0.7,-8,45,,15%,2%,<1%,4,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Leeds United,64.7,1.9,1.0,-13,45,,16%,2%,<1%,8,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Fulham,61.7,1.7,1.0,-15,44,,16%,2%,<1%,11,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Southampton,63.9,1.8,1.0,-17,42,,23%,1%,<1%,7,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Wolves,67.2,1.7,0.8,-14,42,,23%,1%,<1%,6,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Everton,64.4,1.7,0.9,-15,41,,25%,<1%,<1%,7,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Leicester,67.1,2.0,1.0,-18,41,,27%,<1%,<1%,1,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Bournemouth,54.7,1.5,1.1,-38,35,,49%,<1%,<1%,8,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Nottm Forest,54.2,1.5,1.2,-38,30,,68%,<1%,<1%,4,"Updated Sept. 18, 2022, at 11:10 a.m.",2022-09-18
Man. City,92.8,3.1,0.3,+67,88,,<1%,98%,71%,20,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Arsenal,82.5,2.3,0.6,+29,73,,<1%,67%,10%,21,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Liverpool,88.4,2.8,0.5,+44,73,,<1%,70%,10%,10,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Tottenham,80.6,2.3,0.7,+22,67,,<1%,46%,3%,17,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Chelsea,81.8,2.2,0.5,+15,66,,<1%,40%,3%,13,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Brighton,76.8,2.1,0.7,+13,61,,<1%,26%,2%,14,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Man. United,75.8,2.2,0.8,+6,61,,<1%,25%,1%,12,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Newcastle,74.8,2.0,0.7,+8,55,,2%,11%,<1%,11,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Aston Villa,72.3,1.8,0.7,-6,48,,9%,3%,<1%,8,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Brentford,69.2,1.9,0.9,-4,47,,9%,3%,<1%,10,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
West Ham,71.4,1.8,0.7,-6,47,,10%,3%,<1%,7,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Crystal Palace,69.6,1.8,0.8,-6,47,,11%,3%,<1%,6,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Leeds United,63.7,1.8,1.0,-15,43,,19%,1%,<1%,9,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Everton,64.5,1.7,0.9,-14,43,,18%,1%,<1%,10,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Fulham,59.0,1.7,1.1,-21,41,,24%,<1%,<1%,11,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Leicester,67.1,2.0,1.0,-18,41,,27%,<1%,<1%,1,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Wolves,67.1,1.7,0.8,-17,40,,26%,<1%,<1%,6,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Southampton,63.2,1.8,1.0,-20,40,,28%,<1%,<1%,7,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Bournemouth,54.9,1.5,1.1,-37,35,,49%,<1%,<1%,9,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Nottm Forest,54.2,1.5,1.2,-39,30,,67%,<1%,<1%,4,"Updated Oct. 2, 2022, at 1:28 p.m.",2022-10-02
Man. City,93.4,3.1,0.3,+71,90,,<1%,98%,75%,23,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Arsenal,82.8,2.4,0.6,+29,73,,<1%,67%,8%,21,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Liverpool,88.5,2.8,0.5,+43,73,,<1%,68%,8%,10,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Tottenham,80.9,2.3,0.6,+23,69,,<1%,48%,4%,20,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Chelsea,82.8,2.3,0.5,+19,68,,<1%,46%,3%,16,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Man. United,76.1,2.2,0.8,+7,62,,<1%,25%,1%,12,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Brighton,77.2,2.1,0.6,+12,60,,<1%,21%,<1%,14,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Newcastle,75.6,2.1,0.7,+12,57,,1%,13%,<1%,14,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
West Ham,72.2,1.8,0.7,-6,48,,9%,3%,<1%,7,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
Aston Villa,72.3,1.8,0.7,-7,48,,9%,3%,<1%,8,"Updated Oct. 8, 2022, at 2:24 p.m.",2022-10-08
